Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -count exons -condenseGenes -d sgNT_MC38_1/ sgNT_MC38_2/ sgArid1a_MC38_1/ sgArid1a_MC38_2/ -tpm)	chr	start	end	strand	Length	Copies	Annotation/Divergence	sgNT_MC38_1/ TPM	sgNT_MC38_2/ TPM	sgArid1a_MC38_1/ TPM	sgArid1a_MC38_2/ TPM
NM_001004148	chr11	72241994	72266604	-	3255	1	Slc13a5|Indy|NaC2/NaCT|Nact|mINDY|-|11|11 B4|protein-coding	0	0	0	0
NM_010487	chr9	22015005	22052023	-	5018	1	Elavl3|2600009P04Rik|Huc|PLE21|mHuC|-|9 A3|9 8.07 cM|protein-coding	0	0.028	0	0
NM_146375	chr9	38672504	38673481	-	976	1	Olfr918|MOR164-3|-|9|9 A5.1|protein-coding	0	0	0	0
NM_010713	chr3	154306294	154330560	-	1966	1	Lhx8|L3|Lhx7|-|3|3 H4|protein-coding	0	0	0	0
NR_033492	chr14	25586804	25590661	+	3857	1	4931406H21Rik|-|-|14|14 A3|ncRNA	0	0.074	0.079	0.218
NM_013707	chr16	88825291	88826145	-	852	1	Krtap14|AA589630|Pmg1|mKAP13|-|16|16 C3.3|protein-coding	0	0	0	0
NM_176846	chr9	53301670	53381158	+	9593	1	Exph5|AC079869.22gm5|B130009M24Rik|E030050P12|Kiaa0624|Slac2b|slac2-b|-|9|9 A5.3|protein-coding	0	0.015	0	0.015
NM_007903	chr2	174760619	174784042	+	3110	1	Edn3|ET-3|PPET3|ls|tmgc48|-|2 H4|2 98.1 cM|protein-coding	0	0	0	0
NM_001162944	chr10	77852859	77853788	+	927	1	Gm10318|EG622629|ENSMUSG00000071195|-|10 C1|10|protein-coding	0	0	0	0
NM_199154	chr6	131659118	131660149	-	1029	1	Tas2r107|STC5-1|T2R07|T2R107|T2R4|Tas2r7|mGR06|mt2r43|-|6 F3|6 63.49 cM|protein-coding	0	0	0	0
NR_037980	chr1	40076212	40085851	-	854	1	Gm16894|-|-|1|1 B|ncRNA	0	0	0	0
NR_045174	chr12	70227841	70234165	+	1291	1	F730035M05Rik|-|-|12 C2|12|ncRNA	0	0	0	0
NM_146717	chr1	174041933	174042936	+	1001	1	Olfr433|MOR123-1|-|1|1 H3|protein-coding	0	0	0	0
NM_015779	chr10	79886312	79888216	+	913	1	Elane|Ela2|F430011M15Rik|NE|-|10 C1|10 39.72 cM|protein-coding	0	0	0	0.46
NM_001011811	chr7	108211583	108212527	-	943	1	Olfr487|MOR204-29P|MOR204-31P|Olfr1538-ps1|-|7|7 E3|protein-coding	0	0	0	0
NM_028066	chr8	45241168	45262031	-	2229	1	F11|1600027G01Rik|AI503996|Cf11|FXI|PTA|-|8 B1.1|8 25.14 cM|protein-coding	0	0	0.068	0
NM_001166837	chr7	20811221	20812186	-	964	1	Vmn1r114|ENSMUSG00000074323|Gm10669|-|7|7 A3|protein-coding	0	0	0	0
NM_001347657	chr7	126945987	126949581	-	1644	1	Asphd1|A830007L07Rik|Gm168|-|7|7 F3|protein-coding	0	0.347	0	0.085
NM_001271001	chr2	131039632	131043088	-	1352	1	Gfra4|AW060733|G630015H18Rik|-|2 F1|2 63.26 cM|protein-coding	0	0	0	0
NR_029656	chr13	48536012	48536114	-	102	1	Mirlet7d|Mirnlet7d|let-7d|mmu-let-7d|-|13|13 A5|ncRNA	0	0	2.979	0
NR_045781	chr15	100730505	100732737	-	957	1	I730030J21Rik|-|-|15 F1|15|ncRNA	0	0	0	0
NM_001011527	chr7	108544527	108545498	+	970	1	Olfr503|MOR34-12|MOR34-8P|MOR34-9|Olfr1548|-|7|7 E3|protein-coding	0	0	0	0
NR_027637	chr10	122119697	122130558	+	517	1	Gm4489|Gm241|-|10 D2|10|ncRNA	0	0	0	0.271
NM_011458	chr12	104338486	104345739	+	1645	1	Serpina3k|1300001I07Rik|D12Rp54|MMCM2|MMSpi2|RP54|Spi-2|Spi2|contrapsin|-|12 E|12 53.99 cM|protein-coding	0	0	0	0
NM_008430	chr8	125995102	126030688	+	2301	1	Kcnk1|AI788889|TWIK-1|-|8|8 E2|protein-coding	0	0	0	0
NM_010933	chr1	86666293	86670573	-	1037	1	Nppc|CNP|lbab|-|1 C5|1 43.98 cM|protein-coding	0	0	0	0
NM_018805	chr11	63884693	63922284	-	6000	1	Hs3st3b1|3-OST-3B|3OST3B1|3Ost3b|AU041882|AW536289|Hs3st3b|m3-OST-3B|-|11 B3|11 39.47 cM|protein-coding	0	0	0	0
NM_175532	chr7	108921853	108930158	-	4478	1	Nlrp10|6430548I20Rik|Nalp10|Napl10|PAN5|Pynod|-|7|7 E3|protein-coding	0	0	0	0.031
NM_029661	chr10	76562272	76570200	+	1325	1	Spatc1l|1700022B01Rik|1700027D21Rik|AA062323|-|10|10 C1|protein-coding	0	0	0.229	0.317
NM_008092	chr14	63198914	63245271	-	3396	1	Gata4|Gata-4|-|14 D1|14 33.24 cM|protein-coding	0	0	0	0
NR_033454	chr18	47537735	47718636	+	1517	1	Gm5095|A730092B10|-|18 C|18|ncRNA	0	0	0	0
NM_001293057	chrY	12688110	12690067	+	1955	2	Gm21379|-|-|Y A1|Y|protein-coding	0	0	0	0
NR_030610	chr12	109729325	109729402	+	77	1	Mir544|Mirn544|mmu-mir-544|-|12 F1|12|ncRNA	0	0	0	0
NM_172152	chr12	102129419	102266749	+	2073	1	Slc24a4|A930002M03Rik|AW492432|NCKX4|-|12|12 E|protein-coding	0	0	0	0
NM_001270555	chr8	21391811	21392792	+	423	1	Defa33|Gm21002|-|8 A2|8|protein-coding	0	0	0	0
NM_175480	chr8	110079734	110092752	+	4895	1	Zfp612|B230354B21Rik|-|8|8 D3|protein-coding	0	0	0	0
NM_008586	chr18	21072344	21100199	+	2269	1	Mep1b|Mep-1b|-|18 A2|18 11.81 cM|protein-coding	0	0	0	0
NM_001005488	chr7	107814586	107815506	+	919	1	Olfr467|GA_x5J8B7W6B6J-2556603-2556836|MOR204-33P|-|7|7 E3|protein-coding	0	0	0	0
NR_030496	chrX	7241243	7241351	-	108	1	Mir501|Mirn501|mir-501|mmu-mir-501|-|X A1.1|X|ncRNA	0	0	0	0
NM_177074	chr2	65316633	65364026	-	1592	1	Slc38a11|9330158F14Rik|-|2|2 C1.3|protein-coding	0	0	0	0
NM_173425	chr1	80198699	80213944	-	2858	1	Fam124b|A830043J08Rik|-|1|1 C5|protein-coding	0	0	0	0
NM_146410	chr19	11896023	11896952	+	928	1	Olfr1420|MOR266-4|-|19|19 A|protein-coding	0	0	0	0
NR_030150	chr14	112021430	112058438	+	40	1	Mir466|Mirn466|mmu-mir-466|-|2|2 A1|ncRNA	0	0	0	0
NM_146429	chr11	59589128	59590087	-	958	1	Olfr223|MOR256-30|-|11|11 B1.3|protein-coding	0	0	0	0
NM_021898	chrX	83486676	83487924	-	1068	1	Tsga8|Halap-X|Halapx|-|X C1|X 38.38 cM|protein-coding	0	0	0	0
NM_008392	chr14	103047012	103056573	+	2581	1	Acod1|AI323667|CAD|Irg1|-|14 E2.3|14 51.67 cM|protein-coding	0	0	0	0.054
NM_028725	chr8	117661399	117671515	-	2830	1	Sdr42e1|4632417N05Rik|AI117603|-|8|8 E1|protein-coding	0	0	0	0.05
NR_046044	chr12	76546972	76547925	-	537	1	AI463170|-|-|12|12 C3|ncRNA	0	0	0.283	0
NM_145137	chr11	70130357	70137542	+	1538	1	Mgl2|CD301b|-|11|11 B3|protein-coding	0	0.278	0.099	0.182
NM_001166638	chr10	100340838	100341762	+	906.8	4	Gm4303|-|-|10 D1|10|protein-coding	0	0	0	0.154
NM_008428	chr6	142564837	142571614	-	2543	1	Kcnj8|AI448900|Kir6.1|gnite|slmbr|sltr|uKATP-1|-|6 G2|6 74.31 cM|protein-coding	0	0	0	0
NM_199065	chr14	108909989	108914239	-	4248	1	Slitrk1|3200001I04Rik|-|14|14 E3|protein-coding	0	0	0	0
NR_001582	chr10	44170447	44219585	+	1425	1	Speer5-ps1|1700007C10Rik|SPEER-5|Speer5-ps|-|10|10 B2|pseudo	0	0	0	0
NM_009911	chr1	128588199	128592299	-	1810	1	Cxcr4|CD184|Cmkar4|LESTR|PB-CKR|PBSF/SDF-1|Sdf1r|b2b220Clo|-|1 E3|1 56.43 cM|protein-coding	0	0	0	0
NM_027304	chr15	98255982	98257307	-	1323	1	H1fnt|1700026P10Rik|H1.7|H1t2|Hanp1|mH1t2|-|15|15 F1|protein-coding	0	0	0	0
NM_146619	chr7	86394537	86395496	-	958	1	Olfr303|MOR104-2|-|7|7 D3|protein-coding	0	0	0	0
NM_181858	chr2	104071010	104084957	+	790	1	Cd59b|-|-|2|2 E2|protein-coding	0	0	0	0
NM_172855	chr2	57998155	58039171	+	3235	1	Galnt5|4832424J23|-|2|2 C1.1|protein-coding	0	0	0.094	0
NM_001011795	chr2	111230853	111231791	-	937	1	Olfr1275|MOR245-18|-|2|2 E3|protein-coding	0	0	0	0
NM_001163386	chr3	138164135	138186713	-	1588	1	4930579F01Rik|-|-|3|3 G3|protein-coding	0	0	0	0
NR_040303	chr1	164863121	164871438	+	1583	1	Gm20743|-|-|1|1 H2.2|ncRNA	0	0	0.096	0
NR_038183	chr4	5632328	5642284	+	1200	1	4930423M02Rik|-|-|4|4 A1|ncRNA	0	0	0	0
NM_001081144	chr5	38668484	38684826	-	6876	1	Zfp518b|6820424L24Rik|AA410078|AI661722|Znf518b|-|5|5 B3|protein-coding	0	0	0	0
NM_172534	chr11	89390223	89418948	-	2659	1	Ankfn1|4932411E22Rik|Gm1175|nmf9|-|11|11 C|protein-coding	0	0	0	0
NR_045933	chr13	26283159	26312406	-	1638	1	1700092E19Rik|-|-|13|13 A3.1|ncRNA	0	0	0	0
NR_039546	chr9	3038669	3038743	-	74	1	Mir101c|mir-101c|mmu-mir-101c|-|9 A1|9 1.84 cM|ncRNA	0	0	0	0
NM_001085502	chr4	123201553	123216207	+	1096	1	Nt5c1a|Cn1a|Gm49|-|4|4 D2.2|protein-coding	0	0	0	0
NM_008232	chr13	26768172	26770165	-	1991	1	Hdgfl1|4921520N01Rik|HRP-1|Hdgfrp1|Pwwp1|-|13|13 A3.1|protein-coding	0	0	0	0
NM_029310	chr3	10244209	10301183	-	2504	1	Fabp12|1700008G05Rik|-|3|3 A1|protein-coding	0	0	0	0
NR_036451	chr13	93073304	93074755	+	904	1	Gm4814|C920025J10|EG218444|-|13|13 C3|ncRNA	0	0	0	0
NR_015482	chr15	95097622	95149318	-	1003	1	LOC100043315|-|-|15|15 E3|ncRNA	0	0	0	0
NM_025890	chr9	73102398	73104443	+	1681	1	Khdc3|2410004A20Rik|AI467128|FILIA|OEEP48|-|9|9 D|protein-coding	0	0	0	0
NM_173446	chr8	9206010	9771023	-	3137	1	Fam155a|6430500D16|AW121567|Tmem28|-|8|8 A1.1|protein-coding	0	0	0	0
NR_033622	chr9	22330139	22330690	-	551	1	Gm6607|EG625603|-|9 A3|9|pseudo	0	0	0.276	0
NM_015808	chr7	142296377	142297069	-	691	1	Krtap5-1|-|-|7|7 F5|protein-coding	0	0	0	0
NM_146535	chr13	21072349	21073299	-	949	1	Olfr1370|MOR256-14|-|13|13 A2|protein-coding	0	0	0	0
NM_001081273	chr6	48929896	48933687	+	2478	1	1600015I10Rik|AI429442|Doxl1|-|6|6 B2.3|protein-coding	0	0	0	0
NM_198661	chr4	144190717	144196934	+	1922	1	Oog2|C85069|-|4|4 E1|protein-coding	0	0	0	0
NM_001135688	chr15	75564745	75566856	-	979	1	Ly6h|-|-|15|15 D3|protein-coding	0	0	0	0
NM_199201	chr11	115042131	115048295	-	733	2	Cd300ld3|AY457049|Cd300lh|Clm3|Lmir7|clm-3|-|11|11 E2|protein-coding	0	0	0	0
NM_001271565	chr2	19199118	19310243	+	2785	1	Armc3|4921513G22Rik|-|2|2 A3|protein-coding	0	0	0	0
NM_001289850	chr7	4751792	4753094	-	500	1	Cox6b2|1700067P11Rik|BC048670|COXVIB2|-|7|7 A1|protein-coding	0	0	0.304	0
NM_010742	chr15	74762056	74763567	-	686	1	Ly6d|Ly-61|Ly61|Thb|-|15 D3|15 34.27 cM|protein-coding	0	0	0	0
NM_146280	chr15	98456312	98457247	+	934	1	Olfr281|MOR160-5|-|15|15 F1|protein-coding	0	0	0	0
NM_001177481	chr8	21065038	21066001	+	399	1	Defa35|ENSMUSG00000061845|Gm10104|OTTMUSG00000018258|-|8 A2|8|protein-coding	0	0	0	0
NR_040313	chr7	79500026	79534403	+	3547	1	Mir9-3hg|AI854517|-|7|7 D2|ncRNA	0	0	0	0
NM_001081192	chr9	58823512	58860955	+	3788	1	Hcn4|Bcng3|Hcn3|-|9|9 B|protein-coding	0	0	0	0
NM_145532	chr2	127704390	127729897	-	1961	1	Mall|BC012256|BENE|-|2|2 F1|protein-coding	0	0.146	0	0
NR_037213	chr7	6803587	6803670	+	83	1	Mir3099|mir-3099|mmu-mir-3099|-|7 A1|7 3.95 cM|ncRNA	0	0	0	0
NM_001105061	chr7	43018798	43048106	+	2557	1	Gm9268|EG668612|Vmn2r64|-|7|7 B3|protein-coding	0	0	0	0
NM_183038	chr8	19052826	19064810	-	249	1	Defb39|BD-39|-|8|8 A1.3|protein-coding	0	0	0	0
NR_029813	chr14	64590657	64590741	+	84	1	Mir124a-1|Mirn124a|Mirn124a-1|-|14|14 D1|ncRNA	0	0	0	0
NM_029267	chr1	55300069	55363469	-	1020	1	Boll|4930554P13Rik|4930597B14Rik|-|1|1 C1.2|protein-coding	0	0	0	0
NM_001308329	chr10	24637914	24712159	-	6725	1	Enpp1|4833416E15Rik|AI428932|C76301|CD203c|E-NPP 1|E-NPP1|Ly-41|M6S1|NPP1|Npps|PC-1|Pca|Pca-1|Pdnp1|ttw|twy|-|10 A4|10 12.26 cM|protein-coding	0	0.021	0.045	0
NM_001013760	chrX	76264306	76267673	+	1006	1	Cldn34b3|EG238829|Gm4937|-|X A7.3|X|protein-coding	0	0	0	0
NM_147051	chr2	37104695	37105648	-	952	1	Olfr362|MOR158-1|-|2|2 B|protein-coding	0	0	0	0
NM_008073	chr11	41910190	42000714	-	3923	1	Gabrg2|GABAA-R|Gabrg-2|gamma2|-|11 A5|11 24.8 cM|protein-coding	0	0	0	0
NM_001126045	chr5	138021429	138034665	+	2155	1	Smok3a|Smok2b1|-|5|5 G2|protein-coding	0	0	0	0
NM_146468	chr11	49327413	49328348	+	934	1	Olfr1391|MOR256-27|-|11|11 B1.2|protein-coding	0	0	0	0
NR_033569	chr2	162661163	162675204	+	2144	1	9430021M05Rik|-|-|2|2 H2|ncRNA	0	0	0	0
NR_110476	chr8	113517282	113550808	+	415	1	4930571O06Rik|-|-|8|8 E1|ncRNA	0	0	0	0
NM_001166063	chr15	3280627	3303526	-	787	1	Ccdc152|ENSMUSG00000071814|-|15|15 A1|protein-coding	0	0	0	0
NM_010608	chr5	30588170	30625270	+	3806	1	Kcnk3|TASK|Task-1|cTBAK-1|-|5 B1|5 16.68 cM|protein-coding	0	0	0	0
NM_023137	chr17	37193892	37196101	+	933	1	Ubd|FAT10|-|17|17 B1|protein-coding	0	0	0	0
NR_045453	chrX	104816776	104842455	+	558	1	1700121L16Rik|-|-|X|X D|ncRNA	0	0	0	0
NR_027803	chr6	143245888	143297879	+	2757	1	D6Ertd474e|1700001I24Rik|AU023129|-|6 G3|6 75.5 cM|ncRNA	0	0	0.055	0
NM_001309430	chr14	25603513	25605636	+	2121	1	Israa|-|-|14 A3|protein-coding	0	0	0.072	0.066
NM_011412	chr11	35121456	35708507	+	4958	1	Slit3|Slil2|Slit1|b2b2362.1Clo|-|11|11 A4|protein-coding	0	0.058	0	0
NR_029743	chr1	74394310	74394394	+	84	1	Mir26b|Mirn26b|mir-26b|mmu-mir-26b|-|1|1 C3|ncRNA	0	0	0	0
NR_046017	chr8	11007850	11054541	+	949	1	9530052E02Rik|-|-|8 A1.1|8|ncRNA	0	0	0	0.148
NR_045317	chr19	11196817	11299884	+	1017	1	4930526L06Rik|-|-|19|19 A|ncRNA	0	0	0	0
NR_102437	chr9	83431547	83454574	+	364	1	Gm2087|-|-|9|9 E2|ncRNA	0	0	0	0
NM_198674	chr9	109717566	109746089	-	1812	1	Fbxw26|EG382109|Gm5163|-|9 F2|9|protein-coding	0	0	0	0
NR_040648	chr4	129960848	129965138	+	1979	1	1700003M07Rik|-|-|4|4 D2.2|ncRNA	0	0	0	0
NM_146396	chr2	111269454	111270365	-	910	1	Olfr1277|MOR248-11|-|2|2 E3|protein-coding	0	0	0	0
NR_028562	chr11	74905446	74905505	+	59	1	Snord91a|MBII-296|-|11 B5|11|snoRNA	0	4.838	0	0
NM_001160403	chrX	86747242	88115623	-	2726	1	Il1rapl1|6330532G10Rik|C030039N24|IL1R8|IL1RAPL|MRX34|OPHN4|TIGIRR-2|-|X|X C1|protein-coding	0	0	0	0
NM_029554	chr5	63812495	63899619	+	1864	1	0610040J01Rik|AI662686|-|5|5 C3.1|protein-coding	0	0	0.082	0.075
NM_001011803	chr2	111911990	111912928	-	937	1	Olfr1306|MOR245-15|-|2|2 E3|protein-coding	0	0	0	0
NR_128567	chr8	12947941	12948070	+	129	1	Gm38671|Mir9768|mmu-mir-9768|-|8|8 A1.1|ncRNA	0	0	0	0
NM_146451	chr16	19285794	19286741	-	946	1	Olfr164|MOR279-2|-|16|16 A3|protein-coding	0	0	0	0
NM_033616	chr1_GL456221_random	111572	163011	-	2715	1	Csprs|D1Lub1|HSR|-|8 B1.3|1|protein-coding	0	0	0	0
NM_001347625	chr11	119143045	119228499	-	6969	1	Tbc1d16|B930087K01|BC026530|Tcd1d16|-|11|11 E2|protein-coding	0	0	0.044	0
NM_019925	chr12	112850876	112860916	-	2434	1	Gpr132|G2a|-|12|12 F1|protein-coding	0	0.059	0.062	0
NR_033141	chr14	77479483	77506868	-	1157	1	Gm6994|EG629678|-|14 D3|14|ncRNA	0	0	0	0
NM_134245	chr13	23099149	23100045	+	895	1	Vmn1r216|V1ri10|-|13|13 A3.1|protein-coding	0	0	0	0
NM_146232	chr19	7781981	7802667	-	1994	1	Slc22a26|-|-|19|19 A|protein-coding	0	0	0	0
NR_040738	chr9	114341111	114364627	-	930	1	4930525D18Rik|-|-|9|9 F3|ncRNA	0	0.614	0.163	0
NR_045736	chr14	51317335	51345489	-	1135	1	4930597G03Rik|-|-|14|14 C1|ncRNA	0	0	0	0
NM_001011779	chr15	98226675	98234450	-	1445	1	Olfr286|EG629524|MOR286-2|-|15|15 F1|protein-coding	0	0	0	0
NM_201370	chr6	40442863	40466815	+	2872	1	Wee2|Gm1065|Wee1B|-|6|6 B1|protein-coding	0	0.05	0	0
NM_001199955	chr2	173572390	173578341	-	582	1	Ankrd60|1700019A24Rik|1700030G11Rik|-|2|2 H3|protein-coding	0	0	0	0
NR_033539	chr11	66905632	66947086	-	816	1	Gm12298|OTTMUSG00000005912|-|11 B3|11|ncRNA	0	0	0	0
NM_147070	chr7	103383062	103384000	-	937	1	Olfr603|MOR32-14_i|MOR32-2|Olfr603-ps1|Olfr604|-|7|7 E3|protein-coding	0	0	0	0
NM_147002	chr16	58823781	58826761	-	1025	1	Olfr175-ps1|MOR184-1|MOR184-10P|Olfr174|-|16|16 C1.2|protein-coding	0	0	0	0
NM_001113208	chr16	81200697	81624287	+	3545	1	Ncam2|Ncam-2|Ocam|RNCAM|-|16 C3.3|16 45.89 cM|protein-coding	0	0.04	0	0.119
NR_126536	chrX	91575211	91575911	-	556	1	1700084M14Rik|-|-|X|X C2|pseudo	0	0	0	0
NM_153534	chr13	68620043	68999541	-	4184	1	Adcy2|mKIAA1060|-|13 B3|13 35.55 cM|protein-coding	0	0	0	0
NM_008381	chr1	119415463	119422248	-	4253	1	Inhbb|-|-|1 E2.3|1 52.29 cM|protein-coding	0	0	0	0
NR_040335	chr2	116900152	116912791	+	1798	1	D330050G23Rik|-|-|2|2 E5|ncRNA	0	0	0	0
NR_029808	chrX	72261031	72261112	-	81	1	Mir224|Mirn224|mir-224|mmu-mir-224|-|X|X A7.3|ncRNA	0	0	0	0
NM_029459	chrX	135613002	135627705	-	2255	1	Prame|4930534P07Rik|-|X|X F1|protein-coding	0	0	0	0.062
NR_046010	chr10	10751046	10758131	+	441	1	4930567K20Rik|1700038H22Rik|-|10|10 A1|ncRNA	0	0	0	0
NM_023821	chr13	93040715	93144724	-	11833	1	Cmya5|2310076E16Rik|2310076E21Rik|AA420382|AI504003|Srfsd|Tims|sr553|-|13|13 C3|protein-coding	0	0.036	0.026	0.024
NM_001199962	chr4	42650604	42656005	-	633	3	Gm13306|OTTMUSG00000011352|-|4 A5|4|protein-coding	0	0	0	0
NM_001104642	chr6	124191596	124231784	-	2567	1	Vmn2r27|EG232367|-|6|6 F2|protein-coding	0	0	0	0
NM_001085551	chrX	3955043	3957002	-	1957	6	Btbd35f11|Gm14346|OTTMUSG00000016406|-|X|X A1.1|protein-coding	0	0	0	0.072
NR_040673	chr4	103382500	103492188	+	804	1	Gm12718|OTTMUSG00000008109|-|4|4 C6|ncRNA	0	0.178	0	0
NM_001005225	chr2	88728653	88729597	-	943	1	Olfr1197|MOR225-10P|MOR225-14|-|2|2 E1|protein-coding	0	0	0	0
NM_001162929	chr13	21981194	21988734	+	1939	1	Pom121l2|Gm24|-|13|13 A3.1|protein-coding	0	0	0	0
NM_175648	chr7	104355398	104358646	-	2767	1	Trim30b|A530023O14Rik|Trim30-1|-|7|7 E3|protein-coding	0	0	0.11	0
NM_001129787	chr9	27299228	27334763	+	4219	1	Igsf9b|AI414108|AI854107|Gm508|mKIAA1030|-|9|9 A4|protein-coding	0	0	0.036	0
NR_046037	chr11	19065275	19075740	+	1411	1	4933406G16Rik|-|-|11|11 A3.1|ncRNA	0	0	0	0
NM_001113181	chr9	4478263	4796234	-	2325	1	Gria4|GluA4|GluR-D|Glur-4|Glur4|Gluralpha4|spkw1|-|9 A1|9 2.46 cM|protein-coding	0	0.061	0	0.06
NR_045852	chrX	12762278	12821492	+	1657	1	Gm14634|OTTMUSG00000017535|-|X A1.1|X 7.61 cM|ncRNA	0	0.172	0.275	0.085
NM_146312	chr7	104635676	104636635	+	958	1	Olfr657|MOR40-13|-|7|7 E3|protein-coding	0	0	0	0
NM_008877	chr17	12378609	12419384	+	2734	1	Plg|AI649309|Pg|-|17 A1|17 8.5 cM|protein-coding	0	0	0	0
NM_001177350	chr1	173591957	173599274	-	2623	1	Ifi213|E030037K03Rik|E430029J22Rik|Pydc4|Pyr-A|-|1|1 H3|protein-coding	0	0	0	0
NM_198630	chr2	127186355	127208280	-	1262	1	1810024B03Rik|-|-|2|2 F1|protein-coding	0	0	0	0.333
NR_045956	chr11	90804691	90895152	+	646	1	4930405D11Rik|-|-|11|11 D|ncRNA	0	0	0	0
NR_073086	chr2	74679558	74687016	+	3364	1	Hoxd11|E230017H14Rik|Hox-4.6|Hox-5.4|Hox-5.5|-|2 C3|2 44.13 cM|protein-coding	0	0	0.045	0.042
NM_146985	chr2	90149019	90150036	-	1015	1	Olfr1270|MOR227-1|-|2|2 E1|protein-coding	0	0	0	0
NM_009486	chr14	51451962	51461293	+	2711	1	Vmn2r89|V2r10|V2r11|-|14|14 C1|protein-coding	0	0	0	0
NM_009402	chr7	18884690	18890438	+	676	1	Pglyrp1|PGRP|PGRP-S|Pglyrp|Tag7|Tasg7|Tnfsf3l|-|7|7 A3|protein-coding	0	0.211	0.899	0
NM_008475	chr15	101918535	101924735	-	2122	1	Krt4|AW108092|K4|Krt-2.4|Krt2-4|-|15 F2|15 57.13 cM|protein-coding	0	0	0	0
NM_145423	chr10	88885992	88929515	+	5314	1	Slc5a8|Ait|SMCT|-|10|10 C1|protein-coding	0	0.027	0.057	0.026
NR_038051	chr18	68889487	68951528	-	2315	1	4930546C10Rik|-|-|18|18 E2|ncRNA	0	0	0	0
NM_010551	chr7	83643063	83735490	-	4968	1	Il16|mKIAA4048|-|7 D3|7 47.43 cM|protein-coding	0	0.057	0.031	0.028
NM_001347243	chr16	59361224	59362240	-	424	1	Olfr209|MOR182-6|-|16|16 C1.3|protein-coding	0	0	0	0
NM_010775	chr14	41151456	41158959	+	916	1	Mbl1|MBL-A|MBP-A|S-MBP|-|14 B|14 22.36 cM|protein-coding	0	0	0	0
NM_147068	chr16	19486840	19487778	+	937	1	Olfr166|MOR270-1|-|16|16 A3|protein-coding	0	0	0	0
NM_001255977	chr17	39536142	39540847	+	1238	1	Esp16|Gm4345|-|17 B1|17|protein-coding	0	0	0	0
NR_029571	chr16	18327401	18327465	-	64	1	Mir185|Mirn185|mir-185|mmu-mir-185|-|16|16 A3|ncRNA	0	0	0	0
NM_146918	chr2	88411627	88412689	-	1060	1	Olfr1180|MOR225-1|-|2|2 D|protein-coding	0	0	0	0
NM_001310628	chr7	17074040	17133450	+	4413	1	Psg16|Cea11|PSG|bCEA|-|7|7 A2|protein-coding	0	0	0.069	0.032
NM_001145813	chr2	103412098	103450988	+	2115	1	Elf5|ESE-2|ESE-5|ESE-5.|-|2|2 E2|protein-coding	0	0.067	0	0
NM_001159415	chr8	105083755	105093591	+	1901	1	Ces3b|Ces31L|Ces3L|EG13909|ES31L|Es31|Gm4738|-|8|8 D3|protein-coding	0	0	0	0
NM_001033267	chr11	116441325	116454347	-	2146	1	Qrich2|Gm66|-|11|11 E2|protein-coding	0	0.2	0.354	0.196
NR_105822	chr8	128278148	128278225	-	77	1	Mir21c|Gm28013|mmu-mir-21c|-|8|8 E2|ncRNA	0	0	0	0
NM_001290313	chr13	49036302	49148328	-	7165	1	Wnk2|1810073P09Rik|AW122246|ESTM15|X83337|mKIAA1760|-|13 A5|13 25.07 cM|protein-coding	0	0	0	0
NM_207559	chr10	129260963	129261901	+	937	1	Olfr776|MOR111-12|-|10|10 D3|protein-coding	0	0	0	0
NR_029747	chr4	88910557	88910662	-	105	1	Mir31|Mirn31|miR-31|mmu-mir-31|-|4|4 C4|ncRNA	0	0	0	0
NM_146339	chr9	19917229	19922510	+	2666	1	Olfr77|18A|MOR143-1|-|9|9 A3|protein-coding	0	0	0	0
NM_009181	chr7	73939120	74013682	-	5367	1	St8sia2|AI323367|ST8SiaII|STX|Siat8b|-|7|7 D1|protein-coding	0	0	0	0
NM_198610	chr4	140026852	140246811	-	1988	1	Igsf21|BC055811|Gm141|-|4|4 D3|protein-coding	0	0	0	0
NM_020288	chr14	50736219	50744324	-	1017	1	Olfr749|MOR106-1|ORL461|Ors1|-|14|14 C1|protein-coding	0	0	0	0
NM_153109	chrX	118427235	118428256	+	1019	2	Tgif2lx1|OTTMUSG00000018465|Tex1|Tgif2lx|Tgifx1|-|X|X E1|protein-coding	0	0	0	0
NR_030447	chr6	129691535	129691643	+	108	1	Mir680-1|Mirn680-1|-|6 F3|6|ncRNA	0	0	0	0
NM_001289644	chr18	43764301	43767399	+	533	1	Scgb3a2|LuLeu1|Pnsp1|UGRP1|Utgrp1|-|18|18 B3|protein-coding	0	0	0	0
NM_172143	chr13	40001882	40288011	-	2795	1	Ofcc1|opo|-|13|13 A3.3|protein-coding	0	0	0	0
NR_045339	chr10	95417375	95428640	+	1153	1	5730420D15Rik|-|-|10|10 C2|ncRNA	0	0	0	0
NM_138945	chr18	42394597	42396093	+	1142	1	Pou4f3|Brn3.1|Brn3c|ddl|dreidel|-|18 B3|18 22.58 cM|protein-coding	0	0	0	0
NM_134191	chr17	20687508	20688404	+	895	1	Vmn1r226|V1re2|-|17|17 A3.2|protein-coding	0	0	0	0
NM_027609	chr5	17476122	17480936	+	1225	1	Speer4f1|4922502J04Rik|SPEER-4F|Speer4f|-|5|5 A3|protein-coding	0	0	0	0
NM_008278	chr8	56294552	56321046	+	1710	1	Hpgd|15-PGDH|AV026552|-|8|8 B2|protein-coding	0	0	0	0
